unique_id: 4e32f78c-5919-497f-8cd8-3d6195c5e854 label: (A,1,1,1,False);
unique_id: 682f47a4-7f38-442b-b15d-abce37288453 label: (B,1,1,1,False);
unique_id: d727cd53-4b9a-4103-a3cf-5e2c21fbba51 label: (C,1,1,1,False);
unique_id: 169ead52-b5ae-43c3-be6a-1c6573229584 label: (A,2,2,1,False); child_unique_id: 4e32f78c-5919-497f-8cd8-3d6195c5e854 child_label: (A,1,1);
unique_id: 83211779-1361-4888-bd61-f8678e38d7af label: (B,2,2,1,False); child_unique_id: 682f47a4-7f38-442b-b15d-abce37288453 child_label: (B,1,1);
unique_id: e2bc9e95-ac9f-4cff-b41f-dd2c5682be03 label: (C,2,2,1,False); child_unique_id: d727cd53-4b9a-4103-a3cf-5e2c21fbba51 child_label: (C,1,1);
unique_id: 1939cabe-c6c8-4f5e-9dd7-30d63459b57c label: (A,3,3,1,False); child_unique_id: 169ead52-b5ae-43c3-be6a-1c6573229584 child_label: (A,2,2);
unique_id: b5a212fb-39d8-4d0f-8bd3-3c069ac5c925 label: (B,3,3,1,False); child_unique_id: 83211779-1361-4888-bd61-f8678e38d7af child_label: (B,2,2); child_unique_id: 169ead52-b5ae-43c3-be6a-1c6573229584 child_label: (A,2,2);
unique_id: a483c97d-d30f-4ccf-a216-93e080d44eb6 label: (C,4,3,1,False); child_unique_id: e2bc9e95-ac9f-4cff-b41f-dd2c5682be03 child_label: (C,2,2);
unique_id: d2d4ca45-f614-4db6-a0ec-d0d814fabb4d label: (A,5,4,1,False); child_unique_id: 1939cabe-c6c8-4f5e-9dd7-30d63459b57c child_label: (A,3,3);
unique_id: 25325945-1012-4fb1-bc19-cb26bbcb2274 label: (C,5,4,1,False); child_unique_id: a483c97d-d30f-4ccf-a216-93e080d44eb6 child_label: (C,4,3);
unique_id: 743b9f75-15fc-4dd6-ab1a-39f79bea1066 label: (A,6,5,1,False); child_unique_id: d2d4ca45-f614-4db6-a0ec-d0d814fabb4d child_label: (A,5,4);
unique_id: f7c77c55-7c7d-4ff2-bd72-e8a46a001230 label: (C,6,5,1,False); child_unique_id: 25325945-1012-4fb1-bc19-cb26bbcb2274 child_label: (C,5,4);
unique_id: e6272803-dceb-4eac-84bd-c46881c8fce7 label: (A,8,6,1,False); child_unique_id: 743b9f75-15fc-4dd6-ab1a-39f79bea1066 child_label: (A,6,5);
unique_id: c3a598c9-4123-4e04-aa03-ee202512502c label: (C,8,6,1,False); child_unique_id: f7c77c55-7c7d-4ff2-bd72-e8a46a001230 child_label: (C,6,5);
unique_id: 4a83a978-c5f5-4e08-8ff4-4354b70f6915 label: (A,9,7,1,True); child_unique_id: e6272803-dceb-4eac-84bd-c46881c8fce7 child_label: (A,8,6);
unique_id: fac56116-63c2-40d8-bab1-ab8f87fe1b7d label: (B,9,4,1,False); child_unique_id: b5a212fb-39d8-4d0f-8bd3-3c069ac5c925 child_label: (B,3,3); child_unique_id: c3a598c9-4123-4e04-aa03-ee202512502c child_label: (C,8,6);
unique_id: c131edf1-c2f2-4796-9df2-fcf17c176af0 label: (C,9,7,1,False); child_unique_id: c3a598c9-4123-4e04-aa03-ee202512502c child_label: (C,8,6);
unique_id: 79f8e1df-b59c-4398-8282-5751b8c34d04 label: (B,10,5,1,False); child_unique_id: fac56116-63c2-40d8-bab1-ab8f87fe1b7d child_label: (B,9,4);
unique_id: 94dfaf85-17f6-4f12-b293-af559a0a0ac5 label: (C,10,8,1,False); child_unique_id: c131edf1-c2f2-4796-9df2-fcf17c176af0 child_label: (C,9,7);
unique_id: 6b30210f-d4d5-45d0-aece-e4cc7cf64f99 label: (B,11,6,1,False); child_unique_id: 79f8e1df-b59c-4398-8282-5751b8c34d04 child_label: (B,10,5); child_unique_id: 94dfaf85-17f6-4f12-b293-af559a0a0ac5 child_label: (C,10,8);
unique_id: 69a2fb69-c4b7-4e88-a108-87c67d876f36 label: (C,12,9,1,False); child_unique_id: 94dfaf85-17f6-4f12-b293-af559a0a0ac5 child_label: (C,10,8);
unique_id: 965a91d6-733d-442d-94c6-12be6cf61532 label: (B,13,7,1,False); child_unique_id: 6b30210f-d4d5-45d0-aece-e4cc7cf64f99 child_label: (B,11,6);
unique_id: d8752a4d-ff64-44bf-aa11-655f31d37e82 label: (C,13,10,1,False); child_unique_id: 69a2fb69-c4b7-4e88-a108-87c67d876f36 child_label: (C,12,9);
unique_id: 9c7020a6-5923-4723-bcc0-af3defd9414d label: (B,14,8,1,False); child_unique_id: 965a91d6-733d-442d-94c6-12be6cf61532 child_label: (B,13,7);
unique_id: a1d0329d-863c-44ad-9c26-f872ae35b41f label: (C,14,11,1,True); child_unique_id: d8752a4d-ff64-44bf-aa11-655f31d37e82 child_label: (C,13,10); child_unique_id: 965a91d6-733d-442d-94c6-12be6cf61532 child_label: (B,13,7);
unique_id: f079619d-b3bc-4e4e-bf7f-1d8fb32eac71 label: (B,15,9,1,False); child_unique_id: 9c7020a6-5923-4723-bcc0-af3defd9414d child_label: (B,14,8);
unique_id: 971f0f15-cc89-4f7f-8dda-d917c469a94e label: (B,16,10,1,False); child_unique_id: f079619d-b3bc-4e4e-bf7f-1d8fb32eac71 child_label: (B,15,9);
unique_id: 6c995bd9-a1a5-4d20-84e7-c3f4ddd0139b label: (B,18,11,1,False); child_unique_id: 971f0f15-cc89-4f7f-8dda-d917c469a94e child_label: (B,16,10);
unique_id: 90d7038a-ad5d-4fee-9322-4a0224498abf label: (B,20,12,1,False); child_unique_id: 6c995bd9-a1a5-4d20-84e7-c3f4ddd0139b child_label: (B,18,11);
unique_id: e4166bbe-8ae1-4eea-8db5-341e9cd60002 label: (B,21,13,1,False); child_unique_id: 90d7038a-ad5d-4fee-9322-4a0224498abf child_label: (B,20,12);
unique_id: 19512eb8-ebb9-47ca-b476-45614670a7de label: (B,23,14,1,False); child_unique_id: e4166bbe-8ae1-4eea-8db5-341e9cd60002 child_label: (B,21,13);
unique_id: 832e6edf-d2a9-4fa6-8b6f-f5ee49be063a label: (B,24,15,1,False); child_unique_id: 19512eb8-ebb9-47ca-b476-45614670a7de child_label: (B,23,14);
unique_id: 5d0fa361-e96f-41f3-af62-8ddf9696ee49 label: (B,27,16,1,False); child_unique_id: 832e6edf-d2a9-4fa6-8b6f-f5ee49be063a child_label: (B,24,15);
unique_id: 4a33ff94-50eb-4fc7-899f-353279e2618e label: (B,29,17,1,False); child_unique_id: 5d0fa361-e96f-41f3-af62-8ddf9696ee49 child_label: (B,27,16);
