unique_id: 8a698e1b-0d62-4877-a44f-57221fe6140c label: (A,1,1,1,False);
unique_id: 4eb18518-ecb1-4f9a-8eae-e4ec598a8bee label: (C,1,1,1,False);
unique_id: b1bf8c09-4522-4474-9944-93941d1a48d2 label: (A,2,2,1,False); child_unique_id: 8a698e1b-0d62-4877-a44f-57221fe6140c child_label: (A,1,1);
unique_id: 5fd3f204-9a87-4c30-9455-a1d8338e0ad9 label: (B,2,1,1,False);
unique_id: c998ed42-e722-4403-8935-16de1316f7f2 label: (C,2,2,1,False); child_unique_id: 4eb18518-ecb1-4f9a-8eae-e4ec598a8bee child_label: (C,1,1);
unique_id: 8eb7edc0-37c0-419e-859e-b9b07c28bcd8 label: (C,3,3,1,False); child_unique_id: c998ed42-e722-4403-8935-16de1316f7f2 child_label: (C,2,2);
unique_id: 72bfa98d-cc0b-4145-b1fd-73d4ddab7e9c label: (C,4,4,1,False); child_unique_id: 8eb7edc0-37c0-419e-859e-b9b07c28bcd8 child_label: (C,3,3);
unique_id: caa69fc5-6011-49b7-9d50-cfec694a3526 label: (B,5,2,1,False); child_unique_id: 5fd3f204-9a87-4c30-9455-a1d8338e0ad9 child_label: (B,2,1);
unique_id: 9613e85b-dc74-4fe5-a965-580a80630a8e label: (C,5,5,1,False); child_unique_id: 72bfa98d-cc0b-4145-b1fd-73d4ddab7e9c child_label: (C,4,4);
unique_id: ca6f5a35-d2fb-4f3c-9093-1223b8b74a3c label: (A,7,3,1,False); child_unique_id: b1bf8c09-4522-4474-9944-93941d1a48d2 child_label: (A,2,2);
unique_id: 7a38934a-d6ed-46cc-9583-27abb45352b3 label: (B,7,3,1,True); child_unique_id: caa69fc5-6011-49b7-9d50-cfec694a3526 child_label: (B,5,2);
unique_id: b86f4b6a-659e-4879-bc94-88e96705f01b label: (C,7,6,1,False); child_unique_id: 9613e85b-dc74-4fe5-a965-580a80630a8e child_label: (C,5,5);
unique_id: d92ee36b-296c-4316-8157-54270ff1eacd label: (C,8,7,1,False); child_unique_id: b86f4b6a-659e-4879-bc94-88e96705f01b child_label: (C,7,6);
unique_id: c9854fcb-6468-401b-8c4f-cb9403943fe0 label: (A,9,4,1,False); child_unique_id: ca6f5a35-d2fb-4f3c-9093-1223b8b74a3c child_label: (A,7,3);
unique_id: c327dcd3-400a-4863-b4a4-53e9aa768ab4 label: (A,10,5,1,False); child_unique_id: c9854fcb-6468-401b-8c4f-cb9403943fe0 child_label: (A,9,4);
unique_id: 2e9bc095-14a6-4e06-b660-048f224aa83d label: (A,11,6,1,False); child_unique_id: c327dcd3-400a-4863-b4a4-53e9aa768ab4 child_label: (A,10,5);
unique_id: 50d0d727-26fc-4599-89fc-4d423171a9c9 label: (C,11,8,1,False); child_unique_id: d92ee36b-296c-4316-8157-54270ff1eacd child_label: (C,8,7);
unique_id: da679c77-917f-4afb-ba29-0a5594fbcb21 label: (A,12,7,1,False); child_unique_id: 2e9bc095-14a6-4e06-b660-048f224aa83d child_label: (A,11,6);
unique_id: 198cba6e-60d4-4bc3-91d4-1a18fefd9ca8 label: (C,12,9,1,False); child_unique_id: 50d0d727-26fc-4599-89fc-4d423171a9c9 child_label: (C,11,8);
unique_id: 08dc5cdb-0522-4292-9048-3f44c9db3fd0 label: (C,13,10,1,False); child_unique_id: 198cba6e-60d4-4bc3-91d4-1a18fefd9ca8 child_label: (C,12,9);
unique_id: 494514e6-4153-42dd-aaef-602795a60129 label: (A,14,8,1,False); child_unique_id: da679c77-917f-4afb-ba29-0a5594fbcb21 child_label: (A,12,7);
unique_id: b1a671f5-8aac-48c6-89f5-8c0bd581ff70 label: (C,14,11,1,False); child_unique_id: 08dc5cdb-0522-4292-9048-3f44c9db3fd0 child_label: (C,13,10);
unique_id: 15273803-87ab-4a0e-aa1d-dc8537b487a6 label: (A,15,9,1,False); child_unique_id: 494514e6-4153-42dd-aaef-602795a60129 child_label: (A,14,8);
unique_id: 67f2fc53-bfc5-419f-92f5-2b9343b614b9 label: (C,15,12,1,False); child_unique_id: b1a671f5-8aac-48c6-89f5-8c0bd581ff70 child_label: (C,14,11);
unique_id: 5809e1dc-fc60-4112-9c55-2ce8813161fd label: (C,16,13,1,False); child_unique_id: 67f2fc53-bfc5-419f-92f5-2b9343b614b9 child_label: (C,15,12);
unique_id: 349588cc-7e6b-4e19-a264-df17c66b2a93 label: (A,17,10,1,False); child_unique_id: 15273803-87ab-4a0e-aa1d-dc8537b487a6 child_label: (A,15,9);
unique_id: e7bdb596-5a19-4d9e-ba9b-fc9ece435e0d label: (C,17,14,1,False); child_unique_id: 5809e1dc-fc60-4112-9c55-2ce8813161fd child_label: (C,16,13);
unique_id: 8caf7e0f-e90a-477f-a07c-9a68ff3f3e3d label: (A,18,11,1,False); child_unique_id: 349588cc-7e6b-4e19-a264-df17c66b2a93 child_label: (A,17,10);
unique_id: e7380ef6-d1fa-4b17-b56a-df0ce6c63d65 label: (C,18,15,1,False); child_unique_id: e7bdb596-5a19-4d9e-ba9b-fc9ece435e0d child_label: (C,17,14);
unique_id: 246db3b0-4506-4ada-82fd-780a3c2ef44f label: (A,19,12,1,False); child_unique_id: 8caf7e0f-e90a-477f-a07c-9a68ff3f3e3d child_label: (A,18,11);
unique_id: 6008481a-d3b5-4f66-817e-753dca70d2f1 label: (C,20,16,1,False); child_unique_id: e7380ef6-d1fa-4b17-b56a-df0ce6c63d65 child_label: (C,18,15);
unique_id: 2ed11cd4-43c0-40f5-a62d-55d90c398c3e label: (A,21,13,1,False); child_unique_id: 246db3b0-4506-4ada-82fd-780a3c2ef44f child_label: (A,19,12);
unique_id: 1cbe5e65-e361-4af2-9bb9-6591ff6aba60 label: (C,21,17,1,False); child_unique_id: 6008481a-d3b5-4f66-817e-753dca70d2f1 child_label: (C,20,16);
unique_id: aac26de0-280a-43b7-9fb2-a170ef629bfb label: (A,22,14,1,False); child_unique_id: 2ed11cd4-43c0-40f5-a62d-55d90c398c3e child_label: (A,21,13);
unique_id: d13f4c6d-d36b-468e-b11e-003bbe780185 label: (C,22,18,1,False); child_unique_id: 1cbe5e65-e361-4af2-9bb9-6591ff6aba60 child_label: (C,21,17);
unique_id: 436d0603-6c06-4bc1-a1b3-709042a95f4d label: (A,23,15,1,False); child_unique_id: aac26de0-280a-43b7-9fb2-a170ef629bfb child_label: (A,22,14);
unique_id: 91fa7e7b-7f41-445f-a28e-e6062f7d6974 label: (C,23,19,1,False); child_unique_id: d13f4c6d-d36b-468e-b11e-003bbe780185 child_label: (C,22,18);
unique_id: 05f6922f-f2d6-47f9-aa85-5d5b74f963ef label: (A,24,16,1,False); child_unique_id: 436d0603-6c06-4bc1-a1b3-709042a95f4d child_label: (A,23,15);
unique_id: ee554d36-ba16-408a-ac77-25bf76b5c400 label: (C,24,20,1,False); child_unique_id: 91fa7e7b-7f41-445f-a28e-e6062f7d6974 child_label: (C,23,19);
unique_id: d37cebd9-836e-43be-8171-0c91d6d6f9ab label: (A,25,17,1,False); child_unique_id: 05f6922f-f2d6-47f9-aa85-5d5b74f963ef child_label: (A,24,16);
unique_id: 94c178f9-e092-4114-856a-6af76c4df448 label: (A,26,18,1,True); child_unique_id: d37cebd9-836e-43be-8171-0c91d6d6f9ab child_label: (A,25,17);
unique_id: e79ade95-e216-4756-ad7d-49e5544a0403 label: (C,26,21,1,True); child_unique_id: ee554d36-ba16-408a-ac77-25bf76b5c400 child_label: (C,24,20);
