unique_id: 749cac4d-1696-448a-a32c-87ee910eac01 label: (C,1,1,1,False);
unique_id: 78bffe23-a2f1-434a-baa7-2b2d9d2a7ccb label: (A,2,1,1,False);
unique_id: d878296c-a470-408d-ac01-b325a2c09972 label: (C,2,2,1,False); child_unique_id: 749cac4d-1696-448a-a32c-87ee910eac01 child_label: (C,1,1);
unique_id: 770205a2-98f2-450b-9d9b-1e7f9feb46cf label: (A,3,2,1,False); child_unique_id: 78bffe23-a2f1-434a-baa7-2b2d9d2a7ccb child_label: (A,2,1);
unique_id: 93622792-caab-448e-9942-b794d3957094 label: (B,3,1,1,False);
unique_id: 910c75ca-37bd-4d4e-9dcf-7ade2d7ff16c label: (C,4,3,1,False); child_unique_id: d878296c-a470-408d-ac01-b325a2c09972 child_label: (C,2,2);
unique_id: 485e0055-f70c-45dc-873e-133cfe81d370 label: (A,6,3,1,False); child_unique_id: 770205a2-98f2-450b-9d9b-1e7f9feb46cf child_label: (A,3,2);
unique_id: 5b158464-db06-4c09-a012-d547c782c7b8 label: (B,7,2,1,False); child_unique_id: 93622792-caab-448e-9942-b794d3957094 child_label: (B,3,1);
unique_id: a766448a-f318-443e-91f8-a2c63074c2f0 label: (C,7,4,1,False); child_unique_id: 910c75ca-37bd-4d4e-9dcf-7ade2d7ff16c child_label: (C,4,3);
unique_id: 90dbe54b-47ea-4f7a-9e41-813b0dab71b3 label: (A,8,4,1,False); child_unique_id: 485e0055-f70c-45dc-873e-133cfe81d370 child_label: (A,6,3);
unique_id: cf523552-37e4-44a9-8bd8-50c83ae02dcc label: (B,8,3,1,False); child_unique_id: 5b158464-db06-4c09-a012-d547c782c7b8 child_label: (B,7,2);
unique_id: cfd87cf7-6ea2-4180-ace4-b7b36d3f8248 label: (A,10,5,1,False); child_unique_id: 90dbe54b-47ea-4f7a-9e41-813b0dab71b3 child_label: (A,8,4);
unique_id: 83752422-7fcb-49e3-a494-ff2c9ca22487 label: (C,10,5,1,False); child_unique_id: a766448a-f318-443e-91f8-a2c63074c2f0 child_label: (C,7,4);
unique_id: 75645681-33c4-45a3-9b52-0ee0edc6b47b label: (A,11,6,1,False); child_unique_id: cfd87cf7-6ea2-4180-ace4-b7b36d3f8248 child_label: (A,10,5);
unique_id: 8bedeb49-5775-48c0-8b2b-2eeec28d9d71 label: (B,11,4,1,True); child_unique_id: cf523552-37e4-44a9-8bd8-50c83ae02dcc child_label: (B,8,3); child_unique_id: cfd87cf7-6ea2-4180-ace4-b7b36d3f8248 child_label: (A,10,5); child_unique_id: 83752422-7fcb-49e3-a494-ff2c9ca22487 child_label: (C,10,5);
unique_id: e5911f55-0e64-4a3a-8184-758f44b39509 label: (C,11,6,1,False); child_unique_id: 83752422-7fcb-49e3-a494-ff2c9ca22487 child_label: (C,10,5);
unique_id: d9bcce0f-d651-4b2c-a780-51fc139b5668 label: (A,12,7,1,False); child_unique_id: 75645681-33c4-45a3-9b52-0ee0edc6b47b child_label: (A,11,6); child_unique_id: 8bedeb49-5775-48c0-8b2b-2eeec28d9d71 child_label: (B,11,4);
unique_id: f8269699-67a0-421b-863b-fb50196c4cdb label: (C,13,7,1,False); child_unique_id: e5911f55-0e64-4a3a-8184-758f44b39509 child_label: (C,11,6);
unique_id: d5b596df-6eda-4a2d-9845-b52603693500 label: (A,14,8,1,False); child_unique_id: d9bcce0f-d651-4b2c-a780-51fc139b5668 child_label: (A,12,7);
unique_id: e8f2b54b-f38d-47e6-88f5-dd9b86cc5f94 label: (A,15,9,1,False); child_unique_id: d5b596df-6eda-4a2d-9845-b52603693500 child_label: (A,14,8);
unique_id: 46ddd053-b4a5-40c4-a78a-dc88116023b8 label: (C,15,8,1,False); child_unique_id: f8269699-67a0-421b-863b-fb50196c4cdb child_label: (C,13,7);
unique_id: 83622049-81c7-482b-a94c-537c65b335ee label: (A,16,10,1,False); child_unique_id: e8f2b54b-f38d-47e6-88f5-dd9b86cc5f94 child_label: (A,15,9);
unique_id: 80e7c4dc-5cf6-4f1d-b9ee-c2441b915516 label: (A,17,11,1,False); child_unique_id: 83622049-81c7-482b-a94c-537c65b335ee child_label: (A,16,10);
unique_id: a1ecc4b0-b0d1-4c02-b2c8-b29f2b80687c label: (C,17,9,1,False); child_unique_id: 46ddd053-b4a5-40c4-a78a-dc88116023b8 child_label: (C,15,8);
unique_id: 1252ae98-36d2-419b-934d-87aa04c705c0 label: (A,18,12,1,False); child_unique_id: 80e7c4dc-5cf6-4f1d-b9ee-c2441b915516 child_label: (A,17,11);
unique_id: 449bf35f-fe07-4b92-8c65-66318f171142 label: (A,19,13,1,False); child_unique_id: 1252ae98-36d2-419b-934d-87aa04c705c0 child_label: (A,18,12);
unique_id: 2992119a-1fec-43c7-92cb-8f7c3c999e3a label: (C,19,10,1,False); child_unique_id: a1ecc4b0-b0d1-4c02-b2c8-b29f2b80687c child_label: (C,17,9);
unique_id: 416f4b1c-5d7c-45bd-b39f-d27ecb38b0b3 label: (A,20,14,1,False); child_unique_id: 449bf35f-fe07-4b92-8c65-66318f171142 child_label: (A,19,13);
unique_id: 12cd3d23-63c8-4210-81e5-24a2cc21a2e8 label: (C,20,11,1,False); child_unique_id: 2992119a-1fec-43c7-92cb-8f7c3c999e3a child_label: (C,19,10);
unique_id: 415c807b-beb7-45fc-a870-0124c8fd0d40 label: (C,22,12,1,False); child_unique_id: 12cd3d23-63c8-4210-81e5-24a2cc21a2e8 child_label: (C,20,11);
